,sub_w_hist,sa2
0,Abbotsford,Abbotsford
1,Albert Park,Albert Park
2,Alfredton,Alfredton
3,Alphington,Alphington - Fairfield
4,Altona,Altona
5,Armadale,Armadale
6,Ascot Vale,Ascot Vale
7,Bairnsdale,Bairnsdale
8,Ballarat North,Ballarat North - Invermay
9,Balwyn,Balwyn
10,Barwon Heads,Barwon Heads - Armstrong Creek
11,Belmont,Belmont
12,Bendigo,Bendigo
13,Bentleigh,Bentleigh - McKinnon
14,Berwick,Berwick - North
15,Berwick,Berwick - South East
16,Berwick,Berwick - South West
17,Camberwell,Camberwell
18,Carlton,Carlton
19,Carlton North,Carlton North - Princes Hill
20,Carnegie,Carnegie
21,Caulfield,Caulfield - North
22,Caulfield,Caulfield - South
23,Cheltenham,Highett (East) - Cheltenham
24,Clayton,Clayton (North) - Notting Hill
25,Clayton,Clayton - Central
26,Clayton,Clayton South
27,Coburg,Coburg - East
28,Dandenong,Dandenong - North
29,Dandenong,Dandenong North
30,Dandenong North,Dandenong North
31,Docklands,Docklands
32,Doncaster,Doncaster
33,Doncaster East,Doncaster East - South
34,East Bendigo,East Bendigo - Kennington
35,East Melbourne,East Melbourne
36,Elsternwick,Elsternwick
37,Elwood,Elwood
38,Epping,Epping (Vic.) - West
39,Essendon,Essendon (West) - Aberfeldie
40,Essendon,Essendon - East
41,Fairfield,Alphington - Fairfield
42,Fitzroy,Fitzroy
43,Fitzroy North,Fitzroy North
44,Flemington,Flemington
45,Flora Hill,Flora Hill - Spring Gully
46,Footscray,Footscray
47,Frankston,Frankston
48,Geelong,Geelong
49,Geelong West,Geelong West - Hamlyn Heights
50,Glen Iris,Malvern - Glen Iris
51,Glen Waverley,Glen Waverley - East
52,Glen Waverley,Glen Waverley - West
53,Glenroy,Glenroy - East
54,Golden Square,Kangaroo Flat - Golden Square
55,Grovedale,Grovedale - Mount Duneed
56,Hampton,Hampton
57,Hawthorn,Hawthorn - North
58,Hawthorn,Hawthorn - South
59,Hawthorn,Hawthorn East
60,Hawthorn East,Hawthorn East
61,Heidelberg,Heidelberg - Rosanna
62,Heidelberg,Heidelberg West
63,Heidelberg West,Heidelberg West
64,Hoppers Crossing,Hoppers Crossing - South
65,Ivanhoe,Ivanhoe
66,Kangaroo Flat,Kangaroo Flat - Golden Square
67,Kensington,Kensington (Vic.)
68,Kew,Kew - South
69,Kew,Kew - West
70,Lara,Lara
71,Malvern,Malvern - Glen Iris
72,Malvern,Malvern East
73,Malvern East,Malvern East
74,CBD,Melbourne CBD - East
75,CBD,Melbourne CBD - North
76,CBD,Melbourne CBD - West
77,Melton,Melton South - Weir Views
78,Melton,Melton West
79,Mentone,Mentone
80,Mildura,Mildura - North
81,Newcomb,Newcomb - Moolap
82,Newport,Newport
83,Newtown,Newtown (Vic.)
84,Noble Park,Noble Park - East
85,North Geelong,North Geelong - Bell Park
86,North Melbourne,North Melbourne
87,Northcote,Northcote - West
88,Nunawading,Nunawading
89,Ocean Grove,Ocean Grove
90,Pakenham,Pakenham - South West
91,Parkville,Parkville
92,Pascoe Vale,Pascoe Vale
93,Port Melbourne,Port Melbourne
94,Prahran,Prahran - Windsor
95,Preston,Preston - East
96,Preston,Preston - West
97,Reservoir,Reservoir - North East
98,Reservoir,Reservoir - South East
99,Richmond,Richmond (South) - Cremorne
100,Richmond,Richmond - North
101,Ringwood,Ringwood
102,Seaford,Seaford (Vic.)
103,Sebastopol,Sebastopol - Redan
104,Shepparton,Shepparton - North
105,South Melbourne,South Melbourne
106,South Yarra,South Yarra - North
107,South Yarra,South Yarra - South
108,South Yarra,South Yarra - West
109,Springvale,Springvale
110,St Albans,St Albans - North
111,St Kilda,St Kilda - Central
112,St Kilda,St Kilda - West
113,St Kilda,St Kilda East
114,St Kilda East,St Kilda East
115,Thomastown,Thomastown
116,Thornbury,Thornbury
117,Toorak,Toorak
118,Torquay,Torquay
119,Traralgon,Traralgon - West
120,Wendouree,Wendouree - Miners Rest
121,Werribee,Werribee - East
122,Werribee,Werribee - West
123,West Footscray,West Footscray - Tottenham
124,West Melbourne,West Melbourne - Residential
125,Whittlesea,Whittlesea
126,Windsor,Prahran - Windsor
127,Yarraville,Yarraville
